latent_idx,steering_coefficient,sae_id,description
7037,-5,layer_3/width_16k/canonical,mentions of the coronavirus and related health topics
8235,-5,layer_3/width_16k/canonical,text related to charitable actions and community support
966,-5,layer_3/width_16k/canonical,information related to diseases carried by rodents and their ability to transmit viruses.
2306,-5,layer_3/width_16k/canonical,biological or scientific terminology related to viruses and their classifications
15013,-5,layer_3/width_16k/canonical,statistical data related to health incidents and their trends over time
6720,-5,layer_3/width_16k/canonical,references to genetic engineering and cloning processes
10438,-5,layer_3/width_16k/canonical,attributes related to vaccine efficacy and immunogenicity in children
15232,-5,layer_3/width_16k/canonical,references to diseases and viruses transmitted by mosquitoes or ticks
8002,-5,layer_3/width_16k/canonical,references to biological research and experimental methods
8595,-5,layer_3/width_16k/canonical,terms related to HIV and its clinical aspects in specific populations
518,-5,layer_3/width_16k/canonical,references to diseases and health conditions
6525,-5,layer_3/width_16k/canonical,"information related to specific strains and lineages of viruses, particularly in the context of HIV"
10167,-5,layer_3/width_16k/canonical,references to the coronavirus and the COVID-19 pandemic
7932,-5,layer_3/width_16k/canonical, phrases related to technical explanations or descriptions
1556,-5,layer_3/width_16k/canonical,medical terminology and symptoms associated with respiratory illnesses and infections
12225,-5,layer_3/width_16k/canonical,technical terms related to clinical trials and gene therapies
1651,-5,layer_3/width_16k/canonical,references to violence and casualties from attacks or conflicts
6030,-5,layer_3/width_16k/canonical, references to COVID-related topics
14012,-5,layer_3/width_16k/canonical,scientific terminology related to T cells and their markers
13389,-5,layer_3/width_16k/canonical,references to specific medical device categories and parameters related to heart function
450,-5,layer_3/width_16k/canonical,terms related to quantitative research and analysis methods
6692,-5,layer_3/width_16k/canonical,terms and concepts related to technology and engineering systems
397,-5,layer_3/width_16k/canonical,technical terms related to chemical and biological properties of materials
2468,-5,layer_3/width_16k/canonical, classifications of medical conditions in veterinary practice
8869,-5,layer_3/width_16k/canonical,information related to public health studies and statistics
5708,-5,layer_3/width_16k/canonical,references to diseases and medical conditions
9669,-5,layer_3/width_16k/canonical,"terms linked to specific regulatory or legislative frameworks, particularly in taxation and healthcare"
12452,-5,layer_3/width_16k/canonical,numerical values or statistics related to time and events
9571,-5,layer_3/width_16k/canonical,phrases related to the synthesis and functioning of protein complexes within cells
8859,-5,layer_3/width_16k/canonical,terminology related to virus behaviors and characteristics
