latent_idx,description,sae_id,steering_coefficient
7037,mentions of the coronavirus and related health topics,layer_20/width_16k/canonical,-117.89373593704565
8235,text related to charitable actions and community support,layer_20/width_16k/canonical,-97.83752388386006
966,information related to diseases carried by rodents and their ability to transmit viruses.,layer_20/width_16k/canonical,-71.07399760114818
15013,statistical data related to health incidents and their trends over time,layer_20/width_16k/canonical,-58.18115734149935
10167,references to the coronavirus and the COVID-19 pandemic,layer_20/width_16k/canonical,-45.537784015390145
518,references to diseases and health conditions,layer_20/width_16k/canonical,-45.29761822951547
1556,medical terminology and symptoms associated with respiratory illnesses and infections,layer_20/width_16k/canonical,-40.4495572584451
6030, references to COVID-related topics,layer_20/width_16k/canonical,-40.35956925541243
2306,biological or scientific terminology related to viruses and their classifications,layer_20/width_16k/canonical,-40.19406799465735
1651,references to violence and casualties from attacks or conflicts,layer_20/width_16k/canonical,-37.28452349680018
8002,references to biological research and experimental methods,layer_20/width_16k/canonical,-36.81016718373826
10438,attributes related to vaccine efficacy and immunogenicity in children,layer_20/width_16k/canonical,-35.02169362185418
8869,information related to public health studies and statistics,layer_20/width_16k/canonical,-34.25189206525454
7932, phrases related to technical explanations or descriptions,layer_20/width_16k/canonical,-31.659178604120914
12452,numerical values or statistics related to time and events,layer_20/width_16k/canonical,-31.447923005571187
450,terms related to quantitative research and analysis methods,layer_20/width_16k/canonical,-31.428647537621377
3242,information related to corruption and bribery involving public officials,layer_20/width_16k/canonical,-31.040624665719044
11643,references to bacterial infections or antibiotic treatments,layer_20/width_16k/canonical,-29.56068683126101
1828,terms related to severity and serious conditions,layer_20/width_16k/canonical,-29.230850155462416
4482,topics related to humanitarian crises and social issues,layer_20/width_16k/canonical,-29.043670961646747
