latent_idx,steering_coefficient,sae_id,sae_release,description
11766,-10,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,mentions of the coronavirus pandemic and related medical terms
9723,-10,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,references to viral RNA and its properties
4788,-10,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,terms related to viral infections and their impact on health
1709,-10,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,terms associated with epidemiological factors in disease transmission
9186,-10,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,terms related to respiratory health conditions and treatments
16246,-10,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,references to disease cases and their statistics
7995,-10,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical, words and phrases related to pandemics and health crises
8336,-10,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,references to vaccines and immunization programs
15218,-10,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,technical terms and concepts related to electrical engineering and telecommunications
10986,-10,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical, references to significant historical events or notable figures
5107,-10,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,terms related to drug resistance and bacterial infections
14050,-10,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,"references to mental health, particularly during the COVID-19 pandemic"
5745,-10,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical, numeric values
9216,-10,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical," numerical representations, particularly related to counts or statistics"
14459,-10,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,numbers or numerical expressions
3088,-10,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,terms related to global or international contexts
13505,-10,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical, terms related to diseases and medical conditions
7080,-10,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,references to HIV/AIDS and coronavirus
7005,-10,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,terms and phrases related to breathing and respiratory functions
5964,-10,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,"numeric values, particularly those indicating quantities or measurements"
